x-coordinate,y-coordinate,Similarity_score
/Users/anirbanmishra/Desktop/cluster/0DB1575C3CCB0B512F7D6D0D04976F3E56CC931E172BCD0D859D6959F461379A,/Users/anirbanmishra/Desktop/cluster/0DB24E0BE42DF6916950D8E12E8B7E53AFE790915E7DD3D26283C68C1BEE1DC1,0.8224819865473223
/Users/anirbanmishra/Desktop/cluster/0DB1575C3CCB0B512F7D6D0D04976F3E56CC931E172BCD0D859D6959F461379A,/Users/anirbanmishra/Desktop/cluster/0DB320474734C63BB3AF3A585733D14039C184DF08A3190B7F83A21D19FF72DC,0.7510563241960702
/Users/anirbanmishra/Desktop/cluster/0DB1575C3CCB0B512F7D6D0D04976F3E56CC931E172BCD0D859D6959F461379A,/Users/anirbanmishra/Desktop/cluster/0DB341EC57F835FC3B22CF37DADFF8563946D4266BB2FD39F3CC9EDA914ACAC9,0.9049930794828754
/Users/anirbanmishra/Desktop/cluster/0DB1575C3CCB0B512F7D6D0D04976F3E56CC931E172BCD0D859D6959F461379A,/Users/anirbanmishra/Desktop/cluster/0DB54CE20399DFC4459245D62B8523262E63AEE62A73515018A0EC3E4E79B4D7,0.7473340548340548
/Users/anirbanmishra/Desktop/cluster/0DB1575C3CCB0B512F7D6D0D04976F3E56CC931E172BCD0D859D6959F461379A,/Users/anirbanmishra/Desktop/cluster/0DB5E3925AF85029C4861681927CC0E4F5ABCD890BEB1F0B9E01708EC678C00F,0.7391817332993803
/Users/anirbanmishra/Desktop/cluster/0DB1575C3CCB0B512F7D6D0D04976F3E56CC931E172BCD0D859D6959F461379A,/Users/anirbanmishra/Desktop/cluster/0DB6AF3A9D9909371714D5634684135B6A3F9A4BB6DF1F258BC37C5ED9DF3E17,0.7379679144385027
/Users/anirbanmishra/Desktop/cluster/0DB1575C3CCB0B512F7D6D0D04976F3E56CC931E172BCD0D859D6959F461379A,/Users/anirbanmishra/Desktop/cluster/0DB7B4D6EFA72946FCD2B466FAA67ED7575A231DCC7858ACA88B15A3D9401862,0.6697186147186147
/Users/anirbanmishra/Desktop/cluster/0DB1575C3CCB0B512F7D6D0D04976F3E56CC931E172BCD0D859D6959F461379A,/Users/anirbanmishra/Desktop/cluster/0DB86B0D922BE1528EB0A1A7889A656852347A3F73D333DDAF49297FE854CDE7,0.7222077922077923
/Users/anirbanmishra/Desktop/cluster/0DB1575C3CCB0B512F7D6D0D04976F3E56CC931E172BCD0D859D6959F461379A,/Users/anirbanmishra/Desktop/cluster/0DB8C83BB961913EBC54D653ABB78C4F63056BE22F8AD61EBCFA061835F882F1,0.812239632510622
/Users/anirbanmishra/Desktop/cluster/0DB1575C3CCB0B512F7D6D0D04976F3E56CC931E172BCD0D859D6959F461379A,/Users/anirbanmishra/Desktop/cluster/0DBB0F006FCE4DEA6B16BF81E789FB5C3E49DF1DA6F131B4AAE67FE862FF1778,0.6729004329004329
/Users/anirbanmishra/Desktop/cluster/0DB1575C3CCB0B512F7D6D0D04976F3E56CC931E172BCD0D859D6959F461379A,/Users/anirbanmishra/Desktop/cluster/0DBB54C6FBA1DD0E6FB2F0F375F9475182949A695007F05409C865840BAC85C8,0.7133441558441559
/Users/anirbanmishra/Desktop/cluster/0DB1575C3CCB0B512F7D6D0D04976F3E56CC931E172BCD0D859D6959F461379A,/Users/anirbanmishra/Desktop/cluster/0DBC8239713A0F05E857B2CE61C2B36891F76E5B5424D38C6A12D42B3DA9DA0D,0.6682900432900433
/Users/anirbanmishra/Desktop/cluster/0DB1575C3CCB0B512F7D6D0D04976F3E56CC931E172BCD0D859D6959F461379A,/Users/anirbanmishra/Desktop/cluster/0DBDDD8F898A19886C059CD4BB274C9B3654B8EBC5A8A82AE3207AD5905FF056,0.5377620623813091
/Users/anirbanmishra/Desktop/cluster/0DB1575C3CCB0B512F7D6D0D04976F3E56CC931E172BCD0D859D6959F461379A,/Users/anirbanmishra/Desktop/cluster/0DBDE2386558D2CA0BE55CAC8BB5366385D99D26D22E3423F19F44B1134D0CBC,0.7989680369755557
/Users/anirbanmishra/Desktop/cluster/0DB1575C3CCB0B512F7D6D0D04976F3E56CC931E172BCD0D859D6959F461379A,/Users/anirbanmishra/Desktop/cluster/0DBEE458C05FE0C3CD679F88A4358E4D29C790B2B8489B9137E3FCDA0B379697,0.7325439266615738
/Users/anirbanmishra/Desktop/cluster/0DB1575C3CCB0B512F7D6D0D04976F3E56CC931E172BCD0D859D6959F461379A,/Users/anirbanmishra/Desktop/cluster/0DC131E98692D97D5C65B67D4E576602742E2769EAB23E656558DD23E5E34771,0.6683794597198577
/Users/anirbanmishra/Desktop/cluster/0DB1575C3CCB0B512F7D6D0D04976F3E56CC931E172BCD0D859D6959F461379A,/Users/anirbanmishra/Desktop/cluster/0DC1D3337FD86F8C85FCD6F261CCF2918FC71C86FD245A6B3023446765F9E1D5,0.5976383112831927
/Users/anirbanmishra/Desktop/cluster/0DB1575C3CCB0B512F7D6D0D04976F3E56CC931E172BCD0D859D6959F461379A,/Users/anirbanmishra/Desktop/cluster/0DC32BADE6E8100B900BCDDB62562E05F83603FF3C8B344A1D98D25691482589,0.6911976911976911
/Users/anirbanmishra/Desktop/cluster/0DB1575C3CCB0B512F7D6D0D04976F3E56CC931E172BCD0D859D6959F461379A,/Users/anirbanmishra/Desktop/cluster/0DC4CF9C435E125F42BE7C3580842AFF3C5F0C164443287D3343A381733C3C08,0.6725108225108225
